"","ara_id","sample_id","collection_date","flow","loq","pathogen","conc","total_pop","ara_name","load","median_7d"
"171",66700,"25_2025_03_02",2025-03-02,18837,32880,"RSV-A",7805.466,74363,"Laupen",1977213.97794602,824337.985363689
"172",66700,"25_2025_03_02",2025-03-02,18837,32880,"RSV-B",7081.1553,74363,"Laupen",1793737.77800923,371336.688611272
"173",66700,"25_2025_03_06",2025-03-06,18834,32880,"RSV-A",0,74363,"Laupen",0,824337.985363689
"174",66700,"25_2025_03_06",2025-03-06,18834,32880,"RSV-B",1466.1628,74363,"Laupen",371336.688611272,824337.985363689
"175",66700,"25_2025_03_07",2025-03-07,18968,32880,"RSV-A",3231.7717,74363,"Laupen",824337.985363689,824337.985363689
"176",66700,"25_2025_03_07",2025-03-07,18968,32880,"RSV-B",3231.7717,74363,"Laupen",824337.985363689,824337.985363689
"177",66700,"25_2025_03_10",2025-03-10,21267,32880,"RSV-A",1371.538,74363,"Laupen",392244.780952893,782701.351091269
"178",66700,"25_2025_03_10",2025-03-10,21267,32880,"RSV-B",0,74363,"Laupen",0,1026475.28935089
"179",66700,"25_2025_03_15",2025-03-15,18738,32880,"RSV-A",3106.2024,74363,"Laupen",782701.351091269,703391.303694041
"180",66700,"25_2025_03_15",2025-03-15,18738,32880,"RSV-B",10928.74,74363,"Laupen",2753825.56002313,824337.985363689
"181",66700,"25_2025_03_18",2025-03-18,18262,32880,"RSV-A",6981.0005,74363,"Laupen",1714387.95006925,703391.303694041
"182",66700,"25_2025_03_18",2025-03-18,18262,32880,"RSV-B",6871.93,74363,"Laupen",1687602.51280879,824337.985363689
"183",66700,"25_2025_03_23",2025-03-23,23190,32880,"RSV-A",0,74363,"Laupen",0,392244.780952893
"184",66700,"25_2025_03_23",2025-03-23,23190,32880,"RSV-B",3291.5818,74363,"Laupen",1026475.28935089,364459.07850275
"185",66700,"25_2025_03_26",2025-03-26,18897,32880,"RSV-A",2767.9678,74363,"Laupen",703391.303694041,703391.303694041
"186",66700,"25_2025_03_26",2025-03-26,18897,32880,"RSV-B",0,74363,"Laupen",0,364459.07850275
