location	variant	date	proportion	proportionLower	proportionUpper
Lugano (TI)	undetermined	2024-12-08	0.004728570896151288	0.0013516563501960227	0.008455408951401485
Lugano (TI)	undetermined	2024-12-11	0.004604023235707945	0.0015757337251092	0.008075320730561539
Lugano (TI)	undetermined	2024-12-13	0.00465306545161795	0.001651287721731243	0.008480791906146154
Lugano (TI)	undetermined	2024-12-15	0.004898441292475591	0.0022646419411605076	0.009071296385991594
Lugano (TI)	undetermined	2024-12-19	0.00605133305275572	0.0025881003260366624	0.01120008676009099
Lugano (TI)	undetermined	2024-12-20	0.0064925242708576535	0.0018963963913476774	0.012566081418134263
Lugano (TI)	undetermined	2024-12-28	0.013630192692081369	3.2181927750447657e-18	0.06488104358225588
Lugano (TI)	undetermined	2024-12-29	0.01262705013808423	3.133925805695794e-20	0.06434259541351633
Lugano (TI)	undetermined	2025-01-09	0.0039535264431995315	1.1829049492975655e-16	0.01596160032361727
Lugano (TI)	undetermined	2025-01-11	0.003835715253667808	4.126382470416072e-18	0.013765607367530023
Lugano (TI)	undetermined	2025-01-13	0.0038220467436517074	1.7146318583704219e-18	0.010627755550151228
Lugano (TI)	undetermined	2025-01-19	0.0031870824404432465	4.591301370122698e-16	0.007616823860394127
Lugano (TI)	undetermined	2025-01-24	0.002906722102559868	2.37596376364628e-17	0.006367245849365133
Lugano (TI)	undetermined	2025-02-01	0.004591753824865372	1.7015665583718191e-16	0.013392513662459459
Lugano (TI)	undetermined	2025-02-06	0.0004727214815102103	1.1953611145202934e-18	0.005535295643060288
Lugano (TI)	undetermined	2025-02-09	0.0004368907242249534	1.0866567200155664e-18	0.004809165880007842
Lugano (TI)	undetermined	2025-02-10	0.0003519419391676115	5.750669692425118e-19	0.004606887047893361
Lugano (TI)	undetermined	2025-02-14	0.00037388648668814695	2.0701229774715297e-19	0.004218387653530868
Lugano (TI)	undetermined	2025-02-18	0.00043723880487000664	1.2909874124225376e-18	0.004432957182170168
Lugano (TI)	undetermined	2025-02-22	0.0004469186357268139	1.3248284492439855e-18	0.004687263935209475
Lugano (TI)	undetermined	2025-02-26	0.00041290744702473375	2.8561010852233672e-24	0.004652567506813402
Lugano (TI)	undetermined	2025-03-02	0.00044592741300137484	3.9888063387276184e-23	0.004277938741843411
Lugano (TI)	undetermined	2025-03-06	0.0024784123475222767	1.7348491450532278e-19	0.007824292326903983
